source_dir,source_file,source_lang,token_index,ocr_original_text,translated_by_google
sample/chi,2 - original.jpg,zh_CN,0,Immunlzatlion Date 003e anuracturer BalchlLOT。No。 Office stamp 接种疫苗 日期 剂量 厂家 批岳 签章 OTd booster 白啵加强疫茵 OTdap 自百破加强疫苗 2 B f计 eE 5兀? Rabies 狂犬瘦苗 IqU Ma二 2 Ln Nle !2忑<& 1》9斟 1: UJI: 召 罩} 3131 昱。^熨 Wr 1Q U45 4 KllDuW 5 SCNAMEDICJ Typhoid 伤褰疫苗 51 bSo ~{ 414 BLuCKAw s 2 DANVILLE CA 945.0,Immunization Date 003e anuracturer BalchlLOT。 No。 Office stamp Vaccination date dose manufacturer approved Yue signature OTd booster white Bo enhanced vaccine OTdap self diphtheria and pertussis booster vaccine 2 B f eE 5兀? Rabies rabies vaccine IqU Ma二2 Ln Nle !2悸&lt;&amp; 1》9饮1: UJI: 召罩} 3131 煜。 ^铁Wr 1Q U45 4 KllDuW 5 SCNAMEDICJ Typhoid vaccine 51 bSo ~{ 414 BLuCKAw s 2 DANVILLE CA 945.0
sample/chi,2 - original.jpg,zh_CN,1,3,3
sample/chi,2 - original.jpg,zh_CN,2,PPD test date 筇核菌:试验日期,PPD test date Pyrrolate: test date
sample/chi,2 - original.jpg,zh_CN,3,Test Resullon)皮试绺果/诊断月期 Induralionfmm) 皮丘直径 | ResullRead By Dr. 医生盆多 Clinic stamp门诊壹,Test Resullon) Skin test result/diagnosis period Induralionfmm) Skin papule diameter | ResullRead By Dr. Doctor Penduo Clinic stamp Clinic One
sample/chi,2 - original.jpg,zh_CN,4,"2_ 7o火13 Tau 3 LgaC) 4iSovan _ MOwm P00 ZeZ('h42 .21 44  SWom MD8e PPD Zo16,2.e Slezelkyey TeSePC Nes@ t(s","2_ 7o火13 Tau 3 LgaC) 4iSovan _ MOwm P00 ZeZ(&#39;h42 .21 44 SWom MD8e PPD Zo16,2.e Slezelkyey TeSePC Nes@ t(s"
sample/chi,2 - original.jpg,zh_CN,5,ILMe 90 9SRFG,ILMe 90 9SRFG
sample/chi,2 - original.jpg,zh_CN,6,厉ne,Li Ne
sample/chi,Shanghai_2021_2.png,zh_CN,0,-S4JeRu]些CrH ]少4T,-S4JeRu]Some CrH]Less 4T
sample/chi,Shanghai_2021_2.png,zh_CN,1,Immunization Record,Immunization Record
sample/chi,Shanghai_2021_2.png,zh_CN,2,预约日期 Date Of Appointment 0阵 /旧,Date of Appointment 0/Old
sample/chi,Shanghai_2021_2.png,zh_CN,3,接种疫苗 预约日期 接种疫苗 名称 Date of 名称 Vaccine Appointment Vaccine 1 0%年A月 Il 日 而龙加 砰 I刖  日 食' 年4月 FPrRO 330年 |月卜 3灰 年  月  日 141.02 年 /月(日 R0e 年14月308 2KUZ 年&月日 龙6『0 年 ||月 |; 印@ 年3月|y 日 年 | 月日 1贬) 年 I月 |l8 yu.3 年  月  日 年8月38 [励 年  月  日 年10月 | 年  月  日 年[9月帕 》 年  月  日 Oof 年^ 月 8: .(NI 年   月  日 岸/月 G8 P3g 年  月  日 哞3月3 长够 年  月  日 年  月  日 酩381.2 年 *月  日 年  月  日 年  月  日,Vaccine Appointment Date Vaccine Name Date of Name Vaccine Appointment Vaccine 1 0% Year Month Day 330 Year Month Day 330 Year Month Day 141.02 Year Month Day 141.02 Year Month Day 308 2KUZ Year Month Day 6『0 Year Month Day 308 2KUZ Year Month Day 6『0 Year Month Day 308 2KUZ Year Month Day 6『0 Year Month Day 308 2KUZ Year Month Day 6『0 Year Month Day 308 2KUZ Year Month Day 6『0 Year Month Day 308 2KUZ Year Month Day 6『0 Year Month Day 308 2KUZ Year Month Day 6『0 Year Month Day 308 2KUZ Year Month Day 6『0 Year Month Day 308 2KUZ Year Month Day 6『0 Year Month Day
sample/chi,Shanghai_2021_2.png,zh_CN,4,接种医 疫苗名称 接种日期 疫苗批号 生签章 Vaccnes Immarezalion  IWuner Immlmtation 初种 Prima?imm [99(0月15日 PPolop 4 复查 日期 结果 PPD Date Resul IXIY 卡介苗 复种 年  月  8 BC G Sooster 复查 日期 结果 PP0 Da e Result 复种 Bocster 年  月  日,Vaccine name Vaccine date Vaccine batch number Doctor&#39;s signature Vaccine Immarezalion IWuner Immlmtation Prima?imm [99(0 月15 日 PPolop 4 Review date Result PPD Date Result IXIY BCG revaccination Year Month 8 BC G Sooster Review date Result PP0 Da e Result Revaccination Bocster Year Month Day
sample/chi,Shanghai_2021_2.png,zh_CN,5,年)月|1曰,Year) Month | 1 Day
sample/chi,Shanghai_2021_2.png,zh_CN,6,?/1-,?/1-
sample/chi,Shanghai_2021_2.png,zh_CN,7,初服 Complete 脊髓灰质炎 8侔 |月/1 ImM 三价混合苗 ()月日 T0 PV 501年4 |白 加服 Booser 33年0月 旧 o年 刖1 全程 百白破 Commete o年2月/ DPT Nefd 月 |匀 蠡 0 |年41 初种 麻疹疫苗 Primary ime 。月 M V 1洚(@]l,Complete Polio Vaccine 8 months/1 ImM Trivalent Mixed Vaccine () Month Day T0 PV 501 Year 4 | White Plus Booser 33 Year 0 Month Old o Year 1 Complete DPT Commite o Year 2 Month/ DPT Nefd Month | Even 0 | Year 41 Primary Measles Vaccine Primary ime. Month MV 1洚(@]l
sample/chi,Shanghai_2021_2.png,zh_CN,8,"/111 9 984132 @R rol 才 DwzIloyoa ""- 990109〉 -衬己. 8 + # m23 甘 okd b 办 p) 10ab3>",/111 9 984132 @R rol 才DwzIloyoa &quot;- 990109〉 -衬己. 8 + # m23 甘okd b 办p) 10ab3&gt;
sample/chi,Shanghai_2021_3.png,zh_CN,0,[a U5{,[a U5
sample/chi,Shanghai_2021_3.png,zh_CN,1,2412244』00画,2412244&#39;00 paintings
sample/chi,Shanghai_2021_3.png,zh_CN,2,接种医 疫苗名称 接种日期 疫苗批号 生签章 Vaccines Date Of Lot Number Unit of Immunization Of Vaccine Immunization 全程 迕670 De 天仑 Comple e Imm [BI% 200 精白破 TD 年 加强 Booster 年  月,"Vaccine Name Vaccine Date Vaccine Batch Number Doctor&#39;s Signature Vaccines Date Of Lot Number Unit of Immunization Of Vaccine Immunization Full Course 670 De Tianlun Complete Imm [BI% 200 Sperm, White and Pertussis TD Year Booster Year Month"
sample/chi,Shanghai_2021_3.png,zh_CN,3,接种医 生签章 Unit Of Immunization,Unit Of Immunization
sample/chi,Shanghai_2021_3.png,zh_CN,4,疫苗名称 Vaccines,Vaccines
sample/chi,Shanghai_2021_3.png,zh_CN,5,接种日期 Date Of Immunization 年  月 -日,Date of Immunization Year Month Day
sample/chi,Shanghai_2021_3.png,zh_CN,6,疫苗批号 Lot Number Of Vaccine,Lot Number Of Vaccine
sample/chi,Shanghai_2021_3.png,zh_CN,7,风疹疫苗 Rubella,Rubella vaccine
sample/chi,Shanghai_2021_3.png,zh_CN,8,年  月  日,Year Month Day
sample/chi,Shanghai_2021_3.png,zh_CN,9,腮腺炎疫苗 Mumps,Mumps vaccine
sample/chi,Shanghai_2021_3.png,zh_CN,10,年  月  日,Year Month Day
sample/chi,Shanghai_2021_3.png,zh_CN,11,年  月  日,Year Month Day
sample/chi,Shanghai_2021_3.png,zh_CN,12,年  月,years
sample/chi,Shanghai_2021_3.png,zh_CN,13,麻风腮 MMR,MMR
sample/chi,Shanghai_2021_3.png,zh_CN,14,N 匆?月 陌 年。月  日 水痘疫苗 25 |年3月F Varicella 年  月  日 年!月 {日 年 月 日 C年 月 |日 201年 (月回 年  月 be1年3月 年  月  日 8 (年4月)匈 Ie) 牟0月^日,N. March 2011. Varicella vaccine 25 March 2011. Varicella vaccine 25 March 2011. Varicella vaccine 25 March 2011. Varicella vaccine 25 March 2011. Varicella vaccine 25 March 2011. Varicella vaccine 25 March 2011.
sample/chi,Shanghai_2021_3.png,zh_CN,15,@,@
sample/chi,Shanghai_2021_3.png,zh_CN,16,年(朗||日 v- L起 乙肝疫苗 初种 Prmanimm_ ?侔1 HB 月 I18 02121 血哞4月日 Cad ( 复种 Bocster 年  月  日 全程 [年月|8 9o1} Complele p年 !月 021 乙脑疫苗 9{ 年|# |8 00016021 埒4 Encephalitis B 加强 8D8 诅 D(h Boosler 年  月  日,2001-03-18 0001-02-16 021 Hepatitis B vaccine 100mg 100mg 000mg 000mg 000mg 000mg 000mg 000mg 000mg 000mg 000mg 000mg 000mg 000mg 000mg 000mg 000mg 000mg 000mg 000mg 000mg 000mg 000mg 000mg 000mg 000mg 000mg 000mg 000mg 000mg 000mg 000mg
sample/chi,Shanghai_2021_3.png,zh_CN,17,V4N,V4N
sample/chi,Shanghai_2021_3.png,zh_CN,18,毖JN 440 ~) FVO U@ 10,440 ~) FVO U@ 10
sample/chi,Shanghai_2021_3.png,zh_CN,19,Vb21,Vb21
sample/chi,Shanghai_2021_3.png,zh_CN,20,年  月  8,Year 8
sample/chi,Shanghai_2021_3.png,zh_CN,21,62 IA,62 I A
sample/chi,Shanghai_2021_3.png,zh_CN,22,流膪疫苗 Cerna,Flu vaccine Cerna
sample/chi,Shanghai_2021_3.png,zh_CN,23,年 {月0日 年  月  日,Year {Month 0 Day Year Month Day
sample/chi,Shanghai_2021_3.png,zh_CN,24,OOAOLO,OOAOLO
sample/chi,Shanghai_2021_3.png,zh_CN,25,年  月  日,Year Month Day
sample/chi,Shanghai_2021_3.png,zh_CN,26,年  月  日,Year Month Day
sample/chi,Shanghai_2021_3.png,zh_CN,27,年  月  日,Year Month Day
sample/chi,5 - original.jpg,zh_CN,0,Influenza (fu) ~感瘦笛,Influenza (fu) ~Sense thin flute
sample/chi,5 - original.jpg,zh_CN,1,12814 J 2 乙016,12814 J 2 B016
sample/chi,5 - original.jpg,zh_CN,2,3,3
sample/chi,5 - original.jpg,zh_CN,3,HepattisA 甲型肝炎疫苗,HepattisA Hepatitis A vaccine
sample/chi,5 - original.jpg,zh_CN,4,IVry[o 2 9l6 11{ Measles;Mumps;Rubella (MNR) Illra 麻疹。流行性c瞎炎。风疹痘苗 2 22〉 1I4 Varcella Irz(rd 水疽疫凿 2 311[(2 Meningococcal 3/12 12  行性脑膜炎球遂瘦酋 2,IVry[o 2 9l6 11{ Measles;Mumps;Rubella (MNR) Illra Measles. Epidemic c leukemia. Rubella vaccine 2 22〉 1I4 Varcella Irz(rd Gangrene 2 311[(2 Meningococcal 3/12 12 Meningococcal meningitis 2
sample/chi,5 - original.jpg,zh_CN,5,J euaery,Jueaery
sample/chi,5 - original.jpg,zh_CN,6,"""",&quot;
sample/chi,5 - original.jpg,zh_CN,7,4,4
sample/chi,6 - original.jpg,zh_CN,0,immunlzation 接种疫苗 Other: 其它 Jp,immunlzation vaccination Other: Other
sample/chi,6 - original.jpg,zh_CN,1,Date 日期,Date
sample/chi,6 - original.jpg,zh_CN,2,Dose Manufacturer BatchlLOT。No。 Office stamp 剂量 厂家 批号 签蛮 Raiy 1.3 1 0 | D: )@勿t Inladbpaal # HOVFILLL2z Swechsh Ca 巴 Allf /3 Wyecd,Dose Manufacturer BatchlLOT。 No。 Office stamp Dose manufacturer batch number label ManRaiy 1.3 1 0 | D: )@勿t Inladbpaal # HOVFILLL2z Swechsh Ca BaAllf /3 Wyecd
sample/chi,6 - original.jpg,zh_CN,3,Sweask LJ Cy KLLzz 丛L Ra {_匾 [鞑1242,Sweask LJ Cy KLLzz CongL Ra {_ plaque [Tartary 1242
sample/chi,6 - original.jpg,zh_CN,4,LCIcg 2e,LCIcg 2e
sample/chi,1 - original.jpg,zh_CN,0,UUU. Unitedfomilyhospitols COI,UUU. Unitedfomilyhospitols COI
sample/chi,1 - original.jpg,zh_CN,1,?9,?9
sample/chi,1 - original.jpg,zh_CN,2,[~骸'}8zATON RECORD Rge Q-aeavs United Family Healthcare 和睦家医疗 儿童  疫苗接种卡 Name MRN: 816548 姓名: SARGENT Hana Blrth Da 38' Pemale DOB ; 2009/11/0 出生日鼾 Tal 1391143282 Allergies 过敏史 Vaccine R 酋 P= 疫苗反应,[~骸&#39;}8zATON RECORD Rge Q-aeavs United Family Healthcare Children&#39;s Vaccination CardName MRN: 816548 Name: SARGENT Hana Blrth Da 38&#39; Pemale DOB ; 2009/11/0 Birthdate Tal 1391143282 Allergies Vaccine R = Vaccine reaction
sample/chi,1 - original.jpg,zh_CN,3,10 Label,10 Label
sample/chi,1 - original.jpg,zh_CN,4,"Beijing United Family Hospitaland Clinics 北京和睦家医院 #2 JiangltaiLu Chaoyang District Beijing 100015, PRC. China 中囤北京期阳区将合路2号 100015 Tel /电话: +86(10)59277000 Faxl传真 +86(10)59277200 24 Hour Emergency Hotline 24小时急诊热线: +86(10)59277120 Shanghai United Family Hospital and Clinicsl 上海和睦家医院 #1139 Xian Xia Lu; Changning District; Shanghai 200336, PRCChina 上海市仙霞路1139号 200336 Tell电话: +86(21)22163900 Faxl 传真 +86(21)22163919 24 Hour Emergency Hotline 24小时急诊热线: +86 (21 22163999 Guangzhou United Family clinicl 广州和睦家诊所 IF; PICC Building, 301 Middle of Guangzhou Avenue Guangzhou 510060, PRCChina 广州市广州大道中301号PICC大厦首层  510060 Tell电话 +86(20)87106000 Faxl 传真 +86(20)87106010 24 Hour Emergency Hotline / 24小时急诊热线: +86(20)87106060","Beijing United Family Hospitaland Clinics 北京和睦家庭医院#2 JiangltaiLu Chaoyang District Beijing 100015, PRC. China Tel: +86(10)59277000 Fax: +86(10)59277200 24 Hour Emergency Hotline: +86(10)59277120 Shanghai United Family Hospital and Clinicsl 上海和睦家庭医院#1139 Xian Xia Lu; Changning District; Shanghai 200336, PRCChina 沪和睦家庭医院1139 Xian Xia Lu; Changning District; Shanghai 200336, PRCChina Tell: +86(21)22163900 Fax: +86(21)22163919 24 Hour Emergency Hotline: +86(21 22163999 Guangzhou United Family clinicl IF; PICC Building, 301 Middle of Guangzhou Avenue Guangzhou 510060, PRCChina Tell +86(20)87106000 Fax +86(20)87106010 24 Hour Emergency Hotline / 24 Hour Emergency Hotline: +86(20)87106060"
sample/chi,Shanghai_2021_1.png,zh_CN,0,疫苗名称,Vaccine Name
sample/chi,Shanghai_2021_1.png,zh_CN,1,可预防的 传染病 Diseases,Preventable infectious diseases
sample/chi,Shanghai_2021_1.png,zh_CN,2,年龄 Age,Age
sample/chi,Shanghai_2021_1.png,zh_CN,3,卡介苗 8CG,BCG 8CG
sample/chi,Shanghai_2021_1.png,zh_CN,4,乙肝 疫苗 HB,Hepatitis B vaccine
sample/chi,Shanghai_2021_1.png,zh_CN,5,背髓灰质 百白破 炎活疫苗 DPT TO PV,Dorsal myelitis diphtheria and tetanus live vaccine DPT TO PV
sample/chi,Shanghai_2021_1.png,zh_CN,6,麻痊 乙脑 活疫苗 疫苗 Measles Encephalitis 邑,Measles Encephalitis Live Vaccine Vaccine Measles Encephalitis
sample/chi,Shanghai_2021_1.png,zh_CN,7,疫苗名称 Vaccine,Vaccine Name
sample/chi,Shanghai_2021_1.png,zh_CN,8,Preventable Infectious,Preventable Infectious
sample/chi,Shanghai_2021_1.png,zh_CN,9,出生时 monh,Born at monh
sample/chi,Shanghai_2021_1.png,zh_CN,10,初种 BCG,Initial BCG
sample/chi,Shanghai_2021_1.png,zh_CN,11,第一针 1st Coses 第二针 2nd dosos,1st needle 1st needle 2nd needle 2nd needle
sample/chi,Shanghai_2021_1.png,zh_CN,12,足月 Ronth,Full-term Ronth
sample/chi,Shanghai_2021_1.png,zh_CN,13,卡介苗 BCG,BCG
sample/chi,Shanghai_2021_1.png,zh_CN,14,结核病 Tuberculosis,Tuberculosis
sample/chi,Shanghai_2021_1.png,zh_CN,15,2足月 2 month,2 months
sample/chi,Shanghai_2021_1.png,zh_CN,16,初免 第-次 TOPV 1 初免 箫瓷 初免 l咨,First exemption of the first TOPV 1 First exemption of the first consultation
sample/chi,Shanghai_2021_1.png,zh_CN,17,3足月 3 month,3 months
sample/chi,Shanghai_2021_1.png,zh_CN,18,01复查 PPD,01Review PPD
sample/chi,Shanghai_2021_1.png,zh_CN,19,初免 簋针 初免 壁 簋 暂,Chumian Guizhen Chumian Bi Guizhan
sample/chi,Shanghai_2021_1.png,zh_CN,20,脊髓灰质炎疫苗 TOPV,Polio vaccine TOPV
sample/chi,Shanghai_2021_1.png,zh_CN,21,脊髓灰质炎 Poliomyelitis,Poliomyelitis
sample/chi,Shanghai_2021_1.png,zh_CN,22,足月 Tonth,Full-term Tonth
sample/chi,Shanghai_2021_1.png,zh_CN,23,"55"" 足月 Donth 8足月 8month",55&quot; Full-term Donth 8 Full-term 8month
sample/chi,Shanghai_2021_1.png,zh_CN,24,百日咳。白喉 . 破伤风 Pertussis Diphtheria Tetanus,Whooping cough. Diphtheria. Tetanus
sample/chi,Shanghai_2021_1.png,zh_CN,25,第三针 3rd doses,3rd doses
sample/chi,Shanghai_2021_1.png,zh_CN,26,百白破 DPT,DPT
sample/chi,Shanghai_2021_1.png,zh_CN,27,初免 Primary ImM,Primary ImM
sample/chi,Shanghai_2021_1.png,zh_CN,28,初免二针 Rrroagosmm 加强 Booster,Second shot of primary immunity Rrroagosmm Enhanced Booster
sample/chi,Shanghai_2021_1.png,zh_CN,29,year,year
sample/chi,Shanghai_2021_1.png,zh_CN,30,麻疹活疫苗 M,"Measles vaccine, live M"
sample/chi,Shanghai_2021_1.png,zh_CN,31,麻疹 Measles,Measles
sample/chi,Shanghai_2021_1.png,zh_CN,32,1.5-2岁 1.5-2 ycar,1.5-2 years old
sample/chi,Shanghai_2021_1.png,zh_CN,33,加强 Booster,Booster
sample/chi,Shanghai_2021_1.png,zh_CN,34,加强 Booster,Booster
sample/chi,Shanghai_2021_1.png,zh_CN,35,加强 Booster,Booster
sample/chi,Shanghai_2021_1.png,zh_CN,36,加强 Boosler,Strengthen Boosler
sample/chi,Shanghai_2021_1.png,zh_CN,37,Vear,Vear
sample/chi,Shanghai_2021_1.png,zh_CN,38,加g'白破 Booster (TD),Add g&#39; White Break Booster (TD)
sample/chi,Shanghai_2021_1.png,zh_CN,39,加强 Booster,Booster
sample/chi,Shanghai_2021_1.png,zh_CN,40,乙脑疫苗 Encephalitis B,Encephalitis B vaccine
sample/chi,Shanghai_2021_1.png,zh_CN,41,流行性乙型脑炎 Epidemic Encephalitis B,Epidemic Encephalitis B
sample/chi,Shanghai_2021_1.png,zh_CN,42,year,year
sample/chi,Shanghai_2021_1.png,zh_CN,43,10岁 10year,10 years old
sample/chi,Shanghai_2021_1.png,zh_CN,44,加强 Boostor,Boostor
sample/chi,Shanghai_2021_1.png,zh_CN,45,12岁 12 year,12 years old
sample/chi,Shanghai_2021_1.png,zh_CN,46,乙肝免疫 HB,Hepatitis B immunity
sample/chi,Shanghai_2021_1.png,zh_CN,47,乙型病毒性肝炎 Hepatitis B,Hepatitis B
sample/chi,Shanghai_2021_1.png,zh_CN,48,15岁 5 year,15 years old
sample/chi,Shanghai_2021_1.png,zh_CN,49,加强(白破) Booster (TO),Booster (TO)
sample/es,1 - es.jpg,es_XX,0,VACCINE Vacuno,Vaccine
sample/es,1 - es.jpg,es_XX,1,DaTe GIVEN fecha de vacunación,Give your vaccination date
sample/es,1 - es.jpg,es_XX,2,doctor OFfIce Or CLNIC modco clfnca,doctor OFFIce Or CLNIC modco clfnca
sample/es,1 - es.jpg,es_XX,3,NEXT DOSE DUE proxma vacuna,NEXT DOSE DUE next vaccine
sample/es,1 - es.jpg,es_XX,4,IMMUNIZATION RECORD Comprobante de Inmunización,IMMUNIZATION RECORD Proof of Immunization
sample/es,1 - es.jpg,es_XX,5,HPY9 HPYA HPY2 HPY9 HPYA HPY2 HPY9 HPY4 HPY?,HPY9 HPYA HPY2 HPY9 HPYA HPY2 HPY9 HPY4 HPY?
sample/es,1 - es.jpg,es_XX,6,HUMAN PaPILLOMAVIRUS [virus del popilomo humono],HUMAN PAPILLOMAVIRUS
sample/es,1 - es.jpg,es_XX,7,Name nombre,Name name
sample/es,1 - es.jpg,es_XX,8,Gardosil09 (HPv9) Gardosil (HPV4) (ervarix ? (HPY2},Gardosil09 (HPv9) Gardosil (HPV4) (ervarix ? (HPY2}
sample/es,1 - es.jpg,es_XX,9,Birthdalo fecho de nacimiento,Birthdalo date of birth
sample/es,1 - es.jpg,es_XX,10,Sox Sexo,Sox Sex
sample/es,1 - es.jpg,es_XX,11,MENINGOCOCCAL conJUGATE (HenacwyyMcy4} [meningocócica conjugado],MENINGOCOCCAL conJUGATE (HenacwyyMcy4} [meningococcal conjugate]
sample/es,1 - es.jpg,es_XX,12,Allergies alergias,Allergies
sample/es,1 - es.jpg,es_XX,13,Vaccine Reactions cciones cualquier vacuno,Vaccine Reactions to any cattle
sample/es,1 - es.jpg,es_XX,14,SEROGROUP B Meningococcal (Hen B) [meningocócico grupo,SEROGROUP B Meningococcal (Hen B) [meningococcal group
sample/es,1 - es.jpg,es_XX,15,Parents:,Parents:
sample/es,1 - es.jpg,es_XX,16,Your child must meet California's immunization requirements to be enrolled in school and child care. Keep this Record as proof of immunization,Your child must meet California&#39;s immunization requirements to be enrolled in school and child care. Keep this Record as proof of immunization
sample/es,1 - es.jpg,es_XX,17,Bexsero ? Trumenba,Bexsero? Trumenba
sample/es,1 - es.jpg,es_XX,18,Padres:,Parents:
sample/es,1 - es.jpg,es_XX,19,Su niño(a) debe cumplir con los requisitos de vacunación de California para poder inscribirse en la escuela y la guardería. Mantenga este comprobante cono prueba de vacunación,Your child must meet California&#39;s immunization requirements to enroll in school and childcare. Keep this receipt as proof of immunization.
sample/es,1 - es.jpg,es_XX,20,TRIVALENT INAcTIvaTed INFLUENZA (1V3) [trivolente inochvoda contro infuenzo],TRIVALENT INAcTIvaTed INFLUENZA (1V3) [trivolente inochvoda contro infuenzo]
sample/es,1 - es.jpg,es_XX,21,LAIY,LAIY
sample/es,1 - es.jpg,es_XX,22,[PROVIDERS: If using combination vaccines  remember to record dose in all appropriate spaces,[PROVIDERS: If using combination vaccines remember to record dose in all appropriate spaces
sample/es,1 - es.jpg,es_XX,23,Laiy,Laiy
sample/es,1 - es.jpg,es_XX,24,QUADRIVALENT INAcTivated INFLUENZA (IIv4 _ [quadrivglente inoctivoda controlo inHuenza],QUADRIVALENT INAcTivated INFLUENZA (IIv4 _ [quadrivglente inoctivoda controlo inHuenza]
sample/es,1 - es.jpg,es_XX,25,VACCINE vocuna,Vaccine vocuna
sample/es,1 - es.jpg,es_XX,26,DATE GIVEN focha de vacunación,DATE GIVEN vaccination token
sample/es,1 - es.jpg,es_XX,27,doctor OFFICe Or CLINIC medico cMolca,doctor OFFICe Or CLINIC doctor cMolca
sample/es,1 - es.jpg,es_XX,28,NEXT DOSE DUE proxlmo Vaung,NEXT DOSE DUE proxlmo Vaung
sample/es,1 - es.jpg,es_XX,29,LAIY,LAIY
sample/es,1 - es.jpg,es_XX,30,NASAL SpraY INFLUENZA (Laiv} [intonosol vivo contro inHuenzo],NASAL SPRAY INFLUENZA (Laiv} [intonosol vivo contro inHuenzo]
sample/es,1 - es.jpg,es_XX,31,LaIY,LaIY
sample/es,1 - es.jpg,es_XX,32,LAIY,LAIY
sample/es,1 - es.jpg,es_XX,33,TB TESTS RISK ASSESSMENT Prvcbas %6 TB} evalvación de riesgos,TB TESTS RISK ASSESSMENT Prvcbas %6 TB} risk assessment
